Año,Mes,Día,Horas,Minutos,Segundos,Numero de pasajeros,Eventos especiales,Dia de la semana,Flujo de personas,Flujo de choferes,Clima
2024,4,22,6,0,0,2,0,0,6,2,0
2024,4,22,6,15,0,0,0,0,4,2,0
2024,4,22,6,30,0,0,0,0,4,4,0
2024,4,22,6,45,0,2,0,0,5,6,0
2024,4,22,7,0,0,3,0,0,4,9,0
2024,4,22,7,15,0,8,0,0,14,11,0
2024,4,22,7,30,0,11,0,0,19,14,0
2024,4,22,7,45,0,2,0,0,6,16,0
2024,4,22,8,0,0,0,0,0,4,15,0
2024,4,22,8,15,0,0,0,0,4,7,0
2024,4,22,8,30,0,0,0,0,8,8,0
2024,4,22,8,45,0,4,0,0,16,11,0
2024,4,22,9,0,0,4,0,0,16,12,0
2024,4,22,9,15,0,2,0,0,16,14,0
2024,4,22,9,30,0,0,0,0,15,16,0
2024,4,22,9,45,0,0,0,0,15,13,0
2024,4,22,10,0,0,3,0,0,15,16,0
2024,4,22,10,15,0,2,0,0,15,9,0
2024,4,22,10,30,0,0,0,0,20,15,0
2024,4,22,10,45,0,9,0,0,20,9,0
2024,4,22,11,0,0,8,0,0,20,5,0
2024,4,22,11,15,0,5,0,0,20,11,0
2024,4,22,11,30,0,0,0,0,22,14,0
2024,4,22,11,45,0,0,0,0,22,16,0
2024,4,22,12,0,0,0,0,0,22,6,0
2024,4,22,12,15,0,2,0,0,15,6,0
2024,4,22,12,30,0,6,0,0,15,5,0
2024,4,22,12,45,0,5,0,0,15,10,0
2024,4,22,13,0,0,12,0,0,24,10,0
2024,4,22,13,15,0,9,0,0,24,10,0
2024,4,22,13,30,0,15,0,0,24,10,0
2024,4,22,13,45,0,10,0,0,24,12,0
2024,4,22,14,0,0,7,0,0,22,12,0
2024,4,22,14,15,0,3,0,0,18,15,0
2024,4,22,14,30,0,0,0,0,18,12,0
2024,4,22,14,45,0,2,0,0,15,12,0
2024,4,22,15,0,0,0,0,0,15,10,0
2024,4,22,15,15,0,1,0,0,15,9,0
2024,4,22,15,30,0,0,0,0,15,10,0
2024,4,22,15,45,0,0,0,0,15,10,0
2024,4,22,16,0,0,0,0,0,14,9,0
2024,4,22,16,15,0,2,0,0,14,8,0
2024,4,22,16,30,0,4,0,0,14,8,0
2024,4,22,16,45,0,0,0,0,13,8,0
2024,4,22,17,0,0,3,0,0,13,12,0
2024,4,22,17,15,0,5,0,0,16,12,0
2024,4,22,17,30,0,6,0,0,16,14,0
2024,4,22,17,45,0,6,0,0,16,11,0
2024,4,22,18,0,0,1,0,0,16,16,0
2024,4,22,18,15,0,5,0,0,19,12,0
2024,4,22,18,30,0,6,0,0,19,10,0
2024,4,22,18,45,0,15,0,0,30,4,0
2024,4,22,19,0,0,20,0,0,30,3,0
2024,4,22,19,15,0,10,0,0,25,5,0
2024,4,22,19,30,0,0,0,0,30,17,0
2024,4,22,19,45,0,0,0,0,20,10,0
2024,4,22,20,0,0,28,0,0,50,2,0
2024,4,22,20,15,0,15,0,0,40,2,0
2024,4,22,20,30,0,11,0,0,35,3,0
2024,4,22,20,45,0,4,0,0,35,12,0
2024,4,22,21,0,0,8,0,0,35,18,0
2024,4,22,21,15,0,12,0,0,40,20,0
2024,4,22,21,30,0,14,0,0,38,4,0
2024,4,22,21,45,0,20,0,0,35,4,0
2024,4,22,22,0,0,16,0,0,30,6,0
2024,4,22,22,15,0,10,0,0,30,5,0
2024,4,22,22,30,0,14,0,0,30,4,0
2024,4,22,22,45,0,8,0,0,20,4,0
2024,4,22,23,0,0,0,0,0,15,3,0
2024,4,22,23,15,0,0,0,0,10,3,0
2024,4,22,23,30,0,0,0,0,6,3,0
2024,4,22,23,45,0,0,0,0,5,2,0
2024,4,22,0,0,0,0,0,0,2,0,0
2024,4,23,6,0,0,2,0,1,4,2,0
2024,4,23,6,15,0,0,0,1,3,2,0
2024,4,23,6,30,0,0,0,1,6,3,0
2024,4,23,6,45,0,3,0,1,8,3,0
2024,4,23,7,0,0,0,0,1,12,3,0
2024,4,23,7,15,0,0,0,1,8,4,0
2024,4,23,7,30,0,0,0,1,8,4,0
2024,4,23,7,45,0,2,0,1,10,8,0
2024,4,23,8,0,0,0,0,1,10,8,0
2024,4,23,8,15,0,10,0,1,22,3,0
2024,4,23,8,30,0,0,0,1,16,10,0
2024,4,23,8,45,0,0,0,1,12,8,0
2024,4,23,9,0,0,4,0,1,13,8,0
2024,4,23,9,15,0,10,0,1,14,9,0
2024,4,23,9,30,0,0,0,1,13,15,0
2024,4,23,9,45,0,1,0,1,13,12,0
2024,4,23,10,0,0,3,0,1,11,12,0
2024,4,23,10,15,0,8,0,1,11,12,0
2024,4,23,10,30,0,0,0,1,16,7,0
2024,4,23,10,45,0,2,0,1,12,5,0
2024,4,23,11,0,0,7,0,1,12,5,0
