"Fecha ","Hora","Parada","Numero de pasajeros ","Eventos especiales","Dia de la semana","Flujo de personas","Flujo de choferes","Eventos inesperados","Clima",""
"4/22/2024","6:00","Obrajes","2","0","Lunes","6","2","0","sol",""
"4/22/2024","6:15","Obrajes","0","0","Lunes","4","2","0","sol",""
"4/22/2024","6:30","Obrajes","0","0","Lunes","4","4","0","sol",""
"4/22/2024","6:45","Obrajes","2","0","Lunes","5","6","0","sol",""
"4/22/2024","7:00","Obrajes","3","0","Lunes","4","9","0","sol",""
"4/22/2024","7:15","Obrajes","8","0","Lunes","14","11","0","sol",""
"4/22/2024","7:30","Obrajes","11","0","Lunes","19","14","0","sol",""
"4/22/2024","7:45","Obrajes","2","0","Lunes","6","16","0","sol",""
"4/22/2024","8:00","Obrajes","0","0","Lunes","4","15","0","sol",""
"4/22/2024","8:15","Obrajes","0","0","Lunes","4","7","0","sol",""
"4/22/2024","8:30","Obrajes","0","0","Lunes","8","8","0","sol",""
"4/22/2024","8:45","Obrajes","4","0","Lunes","16","11","0","sol",""
"4/22/2024","9:00","Obrajes","4","0","Lunes","16","12","0","sol",""
"4/22/2024","9:15","Obrajes","2","0","Lunes","16","14","0","sol",""
"4/22/2024","9:30","Obrajes","0","0","Lunes","15","16","0","sol",""
"4/22/2024","9:45","Obrajes","0","0","Lunes","15","13","0","sol",""
"4/22/2024","10:00","Obrajes","3","0","Lunes","15","16","0","sol",""
"4/22/2024","10:15","Obrajes","2","0","Lunes","15","9","0","sol",""
"4/22/2024","10:30","Obrajes","0","0","Lunes","20","15","0","sol",""
"4/22/2024","10:45","Obrajes","9","0","Lunes","20","9","0","sol",""
"4/22/2024","11:00","Obrajes","8","0","Lunes","20","5","0","sol",""
"4/22/2024","11:15","Obrajes","5","0","Lunes","20","11","0","sol",""
"4/22/2024","11:30","Obrajes","0","0","Lunes","22","14","0","sol",""
"4/22/2024","11:45","Obrajes","0","0","Lunes","22","16","0","sol",""
"4/22/2024","12:00","Obrajes","0","0","Lunes","22","6","0","sol",""
"4/22/2024","12:15","Obrajes","2","0","Lunes","15","6","0","sol",""
"4/22/2024","12:30","Obrajes","6","0","Lunes","15","5","0","sol",""
"4/22/2024","12:45","Obrajes","5","0","Lunes","15","10","0","sol",""
"4/22/2024","13:00","Obrajes","12","0","Lunes","24","10","0","sol",""
"4/22/2024","13:15","Obrajes","9","0","Lunes","24","10","0","sol",""
"4/22/2024","13:30","Obrajes","15","0","Lunes","24","10","0","sol",""
"4/22/2024","13:45","Obrajes","10","0","Lunes","24","12","0","sol",""
"4/22/2024","14:00","Obrajes","7","0","Lunes","22","12","0","sol",""
"4/22/2024","14:15","Obrajes","3","0","Lunes","18","15","0","sol",""
"4/22/2024","14:30","Obrajes","0","0","Lunes","18","12","0","sol",""
"4/22/2024","14:45","Obrajes","2","0","Lunes","15","12","0","sol",""
"4/22/2024","15:00","Obrajes","0","0","Lunes","15","10","0","sol",""
"4/22/2024","15:15","Obrajes","1","0","Lunes","15","9","0","sol",""
"4/22/2024","15:30","Obrajes","0","0","Lunes","15","10","0","sol",""
"4/22/2024","15:45","Obrajes","0","0","Lunes","15","10","0","sol",""
"4/22/2024","16:00","Obrajes","0","0","Lunes","14","9","0","sol",""
"4/22/2024","16:15","Obrajes","2","0","Lunes","14","8","0","sol",""
"4/22/2024","16:30","Obrajes","4","0","Lunes","14","8","0","sol",""
"4/22/2024","16:45","Obrajes","0","0","Lunes","13","8","0","sol",""
"4/22/2024","17:00","Obrajes","3","0","Lunes","13","12","0","sol",""
"4/22/2024","17:15","Obrajes","5","0","Lunes","16","12","0","sol",""
"4/22/2024","17:30","Obrajes","6","0","Lunes","16","14","0","sol",""
"4/22/2024","17:45","Obrajes","6","0","Lunes","16","11","0","sol",""
"4/22/2024","18:00","Obrajes","1","0","Lunes","16","16","0","sol",""
"4/22/2024","18:15","Obrajes","5","0","Lunes","19","12","0","sol",""
"4/22/2024","18:30","Obrajes","6","0","Lunes","19","10","0","sol",""
"4/22/2024","18:45","Obrajes","15","0","Lunes","30","4","0","sol",""
"4/22/2024","19:00","Obrajes","20","0","Lunes","30","3","0","sol",""
"4/22/2024","19:15","Obrajes","10","0","Lunes","25","5","0","sol",""
"4/22/2024","19:30","Obrajes","0","0","Lunes","30","17","0","sol",""
"4/22/2024","19:45","Obrajes","0","0","Lunes","20","10","0","sol",""
"4/22/2024","20:00","Obrajes","28","0","Lunes","50","2","0","sol",""
"4/22/2024","20:15","Obrajes","15","0","Lunes","40","2","0","sol",""
"4/22/2024","20:30","Obrajes","11","0","Lunes","35","3","0","sol",""
"4/22/2024","20:45","Obrajes","4","0","Lunes","35","12","0","sol",""
"4/22/2024","21:00","Obrajes","8","0","Lunes","35","18","0","sol",""
"4/22/2024","21:15","Obrajes","12","0","Lunes","40","20","0","sol",""
"4/22/2024","21:30","Obrajes","14","0","Lunes","38","4","0","sol",""
"4/22/2024","21:45","Obrajes","20","0","Lunes","35","4","0","sol",""
"4/22/2024","22:00","Obrajes","16","0","Lunes","30","6","0","sol",""
